general rules,,
0: preprocess: remove ignore patterns,,

how to process,title,url
,Kensington Contour Roller $50,http://www.dealalive.com/detail_1287427502045086.html
,4 Pcs Stylus for NDSi  $0.35,http://www.dealalive.com/detail_1287428102101549.html
,Kohls 20% Off + 99 Cent Shipping at Kohls,http://www.techbargains.com/news_displayItem.cfm/227801
,HP G72t Intel Core i3-370M 2.4GHz 17.3in Laptop (4GB/320GB/Blu-Ray) $649.99 at HP,http://www.techbargains.com/news_displayItem.cfm/227784
,HP G42t Intel Core i3-370M 2.4GHz 14in Laptop (3GB/320GB/Blu-Ray) $599.99 at HP,http://www.techbargains.com/news_displayItem.cfm/227785
,"TODAY ONLY Planar PX2710MW 27in Widescreen LCD Monitor (2ms, HDMI) $269.99 Free Shipping at Dell Home",http://www.techbargains.com/news_displayItem.cfm/227790
,Stainless Steel Mens Bracelet w/ Carbon Fiber Inlay $10.99 at Tanga,http://www.techbargains.com/news_displayItem.cfm/227766
,"iPhone App Roundup (Trainyard $0.99, iShred: Guitar + Effects $0.99) at Apple iTunes",http://www.techbargains.com/news_displayItem.cfm/227789
,JR.com - Free Shipping on all Electronics at JR.com,http://www.techbargains.com/news_displayItem.cfm/227793
,TODAY ONLY Thermaltake V9 BlacX Edition ATX Computer Case w/ Docking Station $59.99AR Free Shipping at Newegg,http://www.techbargains.com/news_displayItem.cfm/227794
,Iogear GUH285 4-Port USB Hub $4.99 w/ $0.99 Shipping at Newegg,http://www.techbargains.com/news_displayItem.cfm/227796
,Cannondale Quick CX Ultra Bike $1099.93 Free Shipping to Store at REI,http://www.techbargains.com/news_displayItem.cfm/227788
,metrostyle Coupon - $20 off $75 or $40 off $120+ orders online.,http://www.shopping-bargains.com/coupons/coupon/id/267343?rss=20101018&kid=4758402
,iolo Technologies Coupon - 50% off System Mechanic 10 for only $24.95.,http://www.shopping-bargains.com/coupons/coupon/id/267337?rss=20101018&kid=4758402
,eForCity Coupon - 10% off orders online.,http://www.shopping-bargains.com/coupons/coupon/id/267334?rss=20101018&kid=4758402
,Free film developing & prints at Snapfish  for new customers,"http://dealcoupon.com/lw/coupon.html?10,133358,iref=rss_dealcoupon_15_new"
,Boot Sale: 30% - 50% off select styles at Famous Footwear,"http://dealcoupon.com/lw/coupon.html?10,133362,iref=rss_dealcoupon_15_new"
,Free shipping on $50 coupon at American Girl,"http://dealcoupon.com/lw/coupon.html?10,133379,iref=rss_dealcoupon_15_new"
,30% off regularly-priced sweaters at Ann Taylor,"http://dealcoupon.com/lw/coupon.html?10,133378,iref=rss_dealcoupon_15_new"
,Up to 40% off select outerwear & backpacks at Altrec,"http://dealcoupon.com/lw/coupon.html?10,133365,iref=rss_dealcoupon_15_new"
,30% off Dell Optiplex or Precision systems $699+ at Dell Small Business,"http://dealcoupon.com/lw/coupon.html?10,133381,iref=rss_dealcoupon_15_new"
,10% off select flights at Emirates,"http://dealcoupon.com/lw/coupon.html?10,133380,iref=rss_dealcoupon_15_new"
,$2 off Young Micro silicone HTC EVO 4G case + free screen protector at PC Micro Store,"http://dealcoupon.com/lw/coupon.html?10,133383,iref=rss_dealcoupon_15_new"
,"Buy 3 used books, CDs, DVDs or games, get 4th for $1 at goHastings","http://dealcoupon.com/lw/coupon.html?10,133385,iref=rss_dealcoupon_15_new"
,$25 off $100 hhgregg gift card at hhgregg,"http://dealcoupon.com/lw/coupon.html?10,133384,iref=rss_dealcoupon_15_new"
,"20% off Blu-rays, DVDs, CDs & LPs at DeepDiscount","http://dealcoupon.com/lw/coupon.html?10,133390,iref=rss_dealcoupon_15_new"
,$10off Photosmart C4780 All-in-One printer at HP Home & Office Store,"http://dealcoupon.com/lw/coupon.html?10,133391,iref=rss_dealcoupon_15_new"
,"Refurbished Samsung 27"" 1080p LCD Display for $264 + free shipping",http://dealmac.com/Refurbished-Samsung-27-1080-p-LCD-Display-for-264-free-shipping/396764.html?iref=rss_dealmac_today
,Refurb Dyson DC25 Ball All-Floors Upright Vacuum Cleaner for $280 + $5 s&h,http://dealnews.com/Refurb-Dyson-DC25-Ball-All-Floors-Upright-Vacuum-Cleaner-for-280-5-s-h/396636.html?iref=rss_dealnews_today
,Crocs Men's ABF Flip Flops for $8 + free shipping,http://dealnews.com/Crocs-Mens-ABF-Flip-Flops-for-8-free-shipping/396748.html?iref=rss_dealnews_today
,The Little Carp for Apple iPhone / iPod touch downloads for free,http://dealnews.com/The-Little-Carp-for-Apple-i-Phone-i-Pod-touch-downloads-for-free/396752.html?iref=rss_dealnews_today
,AMD Phenom II X6 2.6GHz 6-Core AM3 CPU for $180 + free shipping,http://dealnews.com/AMD-Phenom-II-X6-2.6-GHz-6-Core-AM3-CPU-for-180-free-shipping/396734.html?iref=rss_dealnews_today
,"Dell Small Business coupons: 35% off Dell PowerEdge servers, more",http://dealnews.com/Dell-Small-Business-coupons-35-off-Dell-Power-Edge-servers-more/396746.html?iref=rss_dealnews_today
